episode,score,steps,result
1,0.30073743990158097,200,timeout
2,0.2583233608473636,200,timeout
3,0.25832336084734875,200,timeout
4,7.899494936611692,200,timeout
5,-0.5184004852206596,200,timeout
6,-6.974997753356938,60,collision
7,-8.710050229264136,51,collision
8,-5.769751705890311,21,collision
9,-4.048604900617422,93,collision
10,30.65357446364404,28,goal
11,29.88933252381102,86,goal
12,29.938935327126593,81,goal
13,8.307926216265518,200,timeout
14,-2.7028672829683265,17,collision
15,30.171374150749187,82,goal
16,-2.8377168098546575,22,collision
17,-2.8615006987830274,21,collision
18,30.106965638336625,63,goal
19,-5.693045957833337,14,collision
20,-5.5677969470088,18,collision
21,30.09677563773387,65,goal
22,-5.703416399275165,10,collision
23,30.145409355902625,59,goal
24,-5.2654536816224615,10,collision
25,30.276090879271536,52,goal
26,30.377479936897608,43,goal
27,30.361741294828683,36,goal
28,30.32363710652237,42,goal
29,30.524834563706023,20,goal
30,30.575735181811602,22,goal
31,30.572739856274282,27,goal
32,30.614094754710948,21,goal
33,30.560733436967165,30,goal
34,30.665503857914743,24,goal
35,30.817094131169494,20,goal
36,-6.208945558319042,14,collision
37,30.648702433542386,21,goal
38,-6.1607254992721385,13,collision
39,30.828504134713654,28,goal
40,30.729538357131908,24,goal
41,30.709092340575467,24,goal
42,-6.067284878006975,14,collision
43,30.9582345411187,25,goal
44,30.644703358975732,20,goal
45,30.693915396125192,22,goal
46,30.794300450499218,21,goal
47,-6.224842766665673,15,collision
48,30.927886022055176,28,goal
49,30.669751606972383,20,goal
50,30.670670434853726,24,goal
51,30.71204048676238,22,goal
52,30.901655025914316,27,goal
53,30.792005874864543,26,goal
54,30.531731886135113,21,goal
55,30.925446668568743,20,goal
56,30.941258023405073,21,goal
57,31.067585762335977,20,goal
58,30.800246591996956,24,goal
59,30.75966182882452,20,goal
60,30.879810430117903,24,goal
61,30.599923417566743,20,goal
62,30.763105587446994,20,goal
63,30.85091247826794,22,goal
64,30.849436503687038,20,goal
65,30.625431620118427,21,goal
66,30.810258318917885,20,goal
67,30.467981415773195,28,goal
68,30.562762280799785,27,goal
69,30.678723092506843,20,goal
70,30.747452560436,21,goal
71,30.54582460655879,20,goal
72,30.726825696706406,21,goal
73,30.55661876563751,21,goal
74,30.578046515532982,28,goal
75,30.733775813789425,24,goal
76,30.63540703100173,27,goal
77,30.577898130385485,27,goal
78,30.813560215233924,26,goal
79,30.610172011734896,21,goal
80,30.59445962615577,19,goal
81,30.526663222130594,22,goal
82,30.718520960170437,20,goal
83,30.612295709230487,23,goal
84,30.74877809094515,21,goal
85,30.51122138769179,24,goal
86,30.43591399475308,30,goal
87,30.510152385409775,21,goal
88,30.409789993510003,32,goal
89,30.44753964156594,28,goal
90,30.4844238814532,28,goal
91,30.49487469066847,29,goal
92,30.408454766256547,32,goal
93,30.496653174060594,30,goal
94,30.499638301122694,37,goal
95,30.229974271659035,49,goal
96,30.045981655082954,68,goal
97,30.276050404919452,44,goal
98,30.26265050548803,51,goal
99,30.140595407469917,64,goal
100,30.175964222602985,55,goal
101,30.038866856653083,69,goal
102,29.93135649342952,83,goal
103,29.849462105302777,88,goal
104,29.813141239617618,97,goal
105,29.505977730557703,121,goal
106,29.255929702744382,146,goal
107,29.14118313913365,160,goal
108,29.206588806696182,155,goal
109,28.924527063278916,179,goal
110,29.143554174928497,158,goal
111,30.054024558288354,69,goal
112,29.90933864077637,83,goal
113,29.781312129869214,94,goal
114,29.97260345077278,75,goal
115,29.340370705560098,145,goal
116,8.180410306119521,200,timeout
117,8.226418226748057,200,timeout
118,8.272215408700644,200,timeout
119,7.4588445546313835,200,timeout
120,7.88039289332042,200,timeout
121,6.97458569107399,200,timeout
122,6.659071142440008,200,timeout
123,-3.047062648381547,81,collision
124,-2.9778646063368033,85,collision
125,8.29604416081783,200,timeout
126,8.395943969079946,200,timeout
127,8.281953315062262,200,timeout
128,7.597399965648877,200,timeout
129,8.026350957462588,200,timeout
130,8.011125101015596,200,timeout
131,8.067837877635627,200,timeout
132,30.23590875451229,48,goal
133,8.155346228985449,200,timeout
134,8.190748500821703,200,timeout
135,8.413942174023687,200,timeout
136,29.726836004518624,102,goal
137,29.75375365683335,96,goal
138,29.7432833089163,99,goal
139,29.685758219255742,104,goal
140,8.216021617258196,200,timeout
141,8.109419481124885,200,timeout
142,5.892375093319219,200,timeout
143,8.294751317517383,200,timeout
144,7.853177728719513,200,timeout
145,8.28360577689042,200,timeout
146,8.32792328645305,200,timeout
147,8.645727178479929,200,timeout
148,8.348341895759557,200,timeout
149,8.25384465349523,200,timeout
150,8.383398010195236,200,timeout
151,7.9971621097376575,200,timeout
152,7.524547859294798,200,timeout
153,7.8557062748423405,200,timeout
154,8.26414633192561,200,timeout
155,7.945856720676888,200,timeout
156,29.856034569812103,86,goal
157,-6.905073198980158,179,collision
158,-6.128406369710782,171,collision
159,-6.4049746796774265,85,collision
160,-5.46446236781478,47,collision
161,-4.804373886665011,34,collision
162,-3.949430612542047,31,collision
163,-5.196400932283122,42,collision
164,-4.902723662274005,52,collision
165,-4.602115875783788,32,collision
166,-5.252860503615954,65,collision
167,-4.71838410027583,36,collision
168,-4.651373232110121,32,collision
169,-5.4345489880934785,109,collision
170,-5.466534617452624,112,collision
171,-4.401187964054174,31,collision
172,-5.906324374512819,132,collision
173,2.179245258122803,200,timeout
174,3.0086234960317704,200,timeout
175,1.5724202294782428,200,timeout
176,1.2483537937981892,200,timeout
177,2.988969491816939,200,timeout
178,2.603684094914419,200,timeout
179,2.0112060681913597,200,timeout
180,2.558201105338406,200,timeout
181,4.263432715588248,200,timeout
182,4.133036507715702,200,timeout
183,5.041863486585182,200,timeout
184,4.509110648709279,200,timeout
185,4.182746199520738,200,timeout
186,4.236256149510648,200,timeout
187,4.101658381515194,200,timeout
188,4.66324851264449,200,timeout
189,-5.832605620453226,15,collision
190,5.096979385869445,200,timeout
191,5.291741165539875,200,timeout
192,-8.562971177748423,51,collision
193,-0.8181235217360494,200,timeout
194,7.429903848206967,200,timeout
195,-1.2201124777213754,200,timeout
196,-1.1001291080708844,200,timeout
197,-0.6928725302525433,200,timeout
198,-1.4312847807922446,200,timeout
199,-5.472343785928982,44,collision
200,-6.4858885922165985,41,collision
201,-5.359427129182533,37,collision
202,-5.0740196469948025,33,collision
203,-4.793541663127922,33,collision
204,-1.2989798612689503,200,timeout
205,-5.293285500883794,42,collision
206,-2.196354108576795,200,timeout
207,-8.450507526387723,115,collision
208,1.4974372644916643,200,timeout
209,-6.398720512272112,41,collision
210,-6.504947564827646,40,collision
211,-6.285281238674749,41,collision
212,-6.187121263680305,41,collision
213,-7.516575786981659,111,collision
214,-6.376594774312173,41,collision
215,-0.9356689405673764,200,timeout
216,-0.6131762475869775,200,timeout
217,-6.3380608690367835,40,collision
218,-7.040315424003465,108,collision
219,-6.766234935159321,107,collision
220,-6.787097431064751,106,collision
221,-5.745923573846372,38,collision
222,-5.801197327223404,37,collision
223,-5.441417142367101,39,collision
224,-5.609833182296853,38,collision
225,2.289796846224135,200,timeout
226,-6.487771363961672,18,collision
227,-6.462628271027841,18,collision
228,-6.240429187175993,9,collision
229,6.333674671614181,200,timeout
230,5.0355193985331645,200,timeout
231,4.239404825324496,200,timeout
232,3.88694930566339,200,timeout
233,4.245865920059917,200,timeout
234,4.321712906990338,200,timeout
235,4.658488735748505,200,timeout
236,4.199774258410818,200,timeout
237,3.735554101890118,200,timeout
238,-4.650993541105278,33,collision
239,3.4728119840864435,200,timeout
240,3.631468154559915,200,timeout
241,-7.50424714119356,176,collision
242,-5.447910326732781,38,collision
243,0.051098212321132895,200,timeout
244,-0.5071960007720299,200,timeout
245,0.14552099523281126,200,timeout
246,-5.539268054246127,118,collision
247,-6.25140078177161,170,collision
248,-0.38670504216487855,200,timeout
249,-0.20656290407078481,200,timeout
250,-0.09369899021028286,200,timeout
251,-0.11194483560711112,200,timeout
252,-0.27852001348979866,200,timeout
253,-0.19428564065662365,200,timeout
254,-0.10847024489071626,200,timeout
255,-0.02426450739520575,200,timeout
256,-0.5192945168159321,200,timeout
257,-0.4585152015524591,200,timeout
258,-0.5073773459620976,200,timeout
259,-0.5556718587424192,200,timeout
260,-0.802523337152566,200,timeout
261,-1.0356760276382884,200,timeout
262,-0.7169072131024604,200,timeout
263,-1.2439942345569892,200,timeout
264,-1.4759368463901121,200,timeout
265,-1.1917980429402932,200,timeout
266,-5.983822117339658,93,collision
267,-5.735538880728396,101,collision
268,-5.523076845251207,105,collision
269,-5.770520602338874,128,collision
270,-5.951824989327209,132,collision
271,-6.416109601032748,188,collision
272,-6.33761392993976,186,collision
273,3.594228911411844,200,timeout
274,3.534217050030673,200,timeout
275,3.714806298234228,200,timeout
276,3.7519019328552767,200,timeout
277,3.3612647850045096,200,timeout
278,3.5963403615947964,200,timeout
279,-4.789427512580249,36,collision
