world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-2.951426246473259,0,0,0.25,3
2,-2.0146040019614424,0,0,0.375,3
3,-5.054208442787618,0,0,0.3125,3
4,-6.597474483299773,0,1,0.7,3
5,-6.265056648171324,0,0,0.6,3
6,-7.461121162449268,0,0,0.25,3
7,-0.018766943173991857,0,0,0.4057971014492754,3
8,19.84332609043353,0,0,,3
9,-1.980457578832007,0,0,0.16666666666666666,3
10,-3.1456842370123304,0,0,,3
11,4.503860818722826,1,0,0.25,3
12,-4.97198832569371,0,1,0.125,3
13,-2.32974731976524,0,0,0.0,3
14,29.355562447833616,1,0,0.16666666666666666,3
15,-6.661072642865437,0,1,0.23076923076923078,3
16,-7.000604369045273,0,1,0.0,3
17,28.87698341282412,1,0,0.29411764705882354,3
18,6.942921257312116,1,0,0.3125,3
19,18.345439604943213,2,0,0.2,3
20,18.083460136585803,1,0,0.3333333333333333,3
21,7.129211596283253,1,0,0.2777777777777778,3
22,7.055177397564511,1,0,0.6,3
23,29.44915507290501,1,0,0.25,3
24,7.233448141858445,1,0,0.2,3
25,18.098359638679288,1,0,0.125,3
26,6.928824272862452,1,1,0.21428571428571427,3
27,18.262208162702922,1,0,0.125,3
28,18.300088898999338,1,0,0.2,3
29,18.48350416128864,1,0,0.25,3
30,18.035230251972674,1,0,0.34615384615384615,3
31,18.505566997173574,1,0,0.25,3
32,18.312032926124015,1,0,0.3125,3
33,18.218016527526924,1,0,0.17857142857142858,3
34,29.79732381647297,1,0,0.3333333333333333,3
35,29.56192445103727,1,0,0.35714285714285715,3
36,29.393852283385502,1,0,0.25,3
37,29.5833055416873,1,0,0.2,3
38,29.698974720290753,1,0,0.375,3
39,29.555813632379408,1,0,0.25,3
40,29.642024189015682,1,0,0.375,3
41,29.552261268679022,1,0,0.35,3
42,29.497390196627553,1,0,0.3333333333333333,3
43,29.67673910034335,1,0,0.2,3
44,29.65533927783297,1,0,0.5,3
45,29.597192972685303,1,0,0.4375,3
46,29.52741782419152,1,0,0.42857142857142855,3
47,29.40590011154427,1,0,0.5,3
48,29.631998011026496,1,0,0.3125,3
49,29.478263237585765,1,0,0.4166666666666667,3
50,18.3025107654421,1,0,0.4,3
51,29.767623281092096,1,0,0.42857142857142855,3
52,29.512756239655975,1,0,0.35714285714285715,3
53,6.339418440748767,1,2,0.5,3
54,29.609458085314316,1,0,0.42857142857142855,3
55,6.394295516391632,1,0,0.2,3
56,29.69561630807802,1,0,,3
57,18.52379906217917,1,0,0.25,3
58,29.47764134696178,1,0,0.5,3
59,18.302421279022013,1,0,0.3,3
60,18.19644097593276,1,0,0.3333333333333333,3
