world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss
1,-5.226841954488367,0,2,0.2,3,,
2,-0.5069479661080115,0,1,0.4117647058823529,3,,
3,-4.466442039647059,0,2,0.125,3,,
4,-2.713029353305038,0,2,0.36363636363636365,3,0.5676769352305615,-0.46062342561127845
5,-3.3070872553960116,0,2,0.0,3,0.3993123932182789,-0.5811619962751865
6,6.8935303781198805,1,2,0.5,3,0.40333537832739647,-0.7185207782836442
7,8.746091745975773,1,1,,3,0.5396646354347467,-0.843368219435215
8,-5.021880208762088,0,3,0.75,3,0.7367396634072065,-1.0132245644927025
9,-4.891294319896573,0,3,0.0,3,0.9798335709116038,-0.9302397756015554
10,-4.6716258486549025,0,3,0.5,3,0.4706857094869894,-1.0126055198557236
11,-5.034205858394587,0,3,0.0,3,0.9941138089634478,-0.9592894427478313
12,5.452868755495774,1,2,0.8333333333333334,3,0.8229301260138044,-1.0255167447790807
13,-1.2343435352499812,0,2,0.5,3,0.8736882189661265,-1.1295388886332511
14,4.899337360115527,1,2,0.5862068965517241,3,0.6947623195574265,-1.2809877469558124
15,-0.7591730292904174,0,2,0.5,3,0.5447053486108779,-1.4667272672057152
16,6.180559795397449,1,2,0.5,3,0.39192897955634004,-1.7365025543753123
17,6.672674478339964,1,2,0.35714285714285715,3,0.54545844239848,-1.9239832716328757
18,-4.391415432780154,0,3,0.6666666666666666,3,0.5744245222916728,-1.9568537677589215
19,17.434952814799132,2,1,0.7,3,0.553796596334953,-2.0666716545820236
20,-4.755920712760321,0,3,0.5,3,0.6141217225748632,-2.311659620867835
21,-4.750533924005009,0,3,0.3333333333333333,3,0.592750166853269,-2.347133632500966
22,-4.718583757202436,0,3,0.5,3,0.6086445041000843,-2.530740703855242
23,10.345122704041096,1,1,0.40350877192982454,3,0.591349492482841,-2.77049414396286
24,-6.51431461705683,0,3,0.07142857142857142,3,0.6644298216822196,-3.079475186309036
25,3.9880567451579183,1,2,0.5,3,0.6284624113424404,-3.4797978581608953
26,6.635849745113666,1,2,0.36666666666666664,3,0.5992808960951291,-3.7682162477419925
27,6.957077962345365,1,2,0.5,3,0.6330362131198247,-4.1386250972747805
28,17.67446622991521,2,1,0.25,3,0.7406661602166983,-4.4176882688815775
29,17.857575083212623,2,1,,3,0.7863257510157732,-4.832048053924854
30,17.823396570872493,2,1,,3,0.7139720364853188,-5.292535531079328
31,17.80021644189405,2,1,,3,0.7439757471890758,-5.847657972102542
32,28.67563490004838,3,0,,3,0.7342418187160782,-6.49909832513877
33,21.308313024209752,2,0,,3,0.8306004934757948,-7.4755545282363896
34,28.856757049465443,3,0,0.16666666666666666,3,0.8491712827497805,-8.229379976299446
35,29.169050117170258,3,0,0.2727272727272727,3,1.0862592767024863,-8.978440569735122
36,18.006723657596126,2,1,0.5,3,1.4160417831221292,-9.434636138206304
37,17.908724941948325,2,1,0.25,3,1.1441129849602778,-9.693336248397827
38,28.80784916152847,3,0,0.13636363636363635,3,1.2372487803300223,-10.392544418726212
39,28.771589983272573,3,0,0.25,3,1.39277146467202,-11.40355825081146
40,6.772761194710319,1,2,0.16666666666666666,3,1.7169098802234815,-11.856954450192658
41,6.742246338297355,1,2,0.5,3,1.2660806447267532,-12.12010316848755
