world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-5.240520081304571,0,1,0.39285714285714285,3
2,-3.199988395504079,0,0,,3
3,-3.9598867931636064,0,0,0.4090909090909091,3
4,-5.439620848558825,0,2,0.5416666666666666,3
5,8.050519611565939,0,0,0.3076923076923077,3
6,-4.492374482159932,0,1,0.3333333333333333,3
7,-3.853931261837266,0,0,0.375,3
8,7.78527910273221,0,0,0.24,3
9,-4.3330631651151785,0,0,0.5,3
10,-1.3566553501023948,0,0,0.5,3
11,-4.745997783698712,0,1,0.375,3
12,1.4199334295720705,0,0,0.26666666666666666,3
13,-5.462116601491442,0,1,0.3125,3
14,-4.520997875537019,0,0,0.5,3
15,-5.50663530762126,0,1,0.3125,3
16,11.102495305507034,0,0,0.3723404255319149,3
17,4.196906760957062,0,2,0.30434782608695654,3
18,3.7787041527014065,0,2,0.35,3
19,6.108183407085676,1,0,0.3333333333333333,3
20,-4.409114132974083,0,1,0.2,3
21,-4.528036420281097,0,1,0.25,3
22,-2.6003160562978853,0,0,0.36363636363636365,3
23,6.491048731145118,1,0,0.25,3
24,-3.090469797878216,0,0,0.425,3
25,20.75329851884447,0,0,0.16666666666666666,3
26,16.17757806330707,0,1,0.2727272727272727,3
27,6.573052642071919,1,0,0.0,3
28,-5.064148327863022,0,3,0.14285714285714285,3
29,5.008870417742292,0,1,0.4375,3
30,-4.484715540416766,0,1,0.25,3
31,6.526739305416769,0,1,0.17857142857142858,3
32,-4.349210992797109,0,1,0.3,3
33,-4.294920849524843,0,1,0.4,3
34,-4.816502814533581,0,1,0.5294117647058824,3
35,-4.536245741678467,0,1,0.25,3
36,-4.72377784207023,0,1,0.25,3
37,-4.541634999491304,0,1,0.3333333333333333,3
38,-4.4523974342916395,0,1,0.5,3
39,-4.402954900494467,0,1,0.45454545454545453,3
40,-4.669621095486815,0,1,0.125,3
41,9.106772885473875,0,0,0.3888888888888889,3
42,9.501657361537534,0,0,0.375,3
43,5.3338744348497835,1,0,1.0,3
44,-4.617794127304297,0,1,0.5,3
45,17.568306054398914,1,0,0.4838709677419355,3
46,6.585756579548665,1,0,0.3333333333333333,3
47,-5.192458803974915,0,1,0.3157894736842105,3
48,21.189363286720027,0,0,0.4107142857142857,3
49,5.289975593557723,0,1,0.2222222222222222,3
50,6.539666748915614,1,0,0.16666666666666666,3
51,6.784331462656032,1,0,0.25,3
52,16.18855003927936,0,1,0.5,3
53,5.526533482695352,0,2,0.3,3
54,15.778413719829366,0,1,0.25,3
55,17.64465914797695,0,1,0.3157894736842105,3
56,5.968173821672416,1,0,0.4074074074074074,3
57,-4.2797087371118145,0,1,0.25,3
58,7.171707930709897,0,0,,3
59,-5.355527238239607,0,2,0.32142857142857145,3
60,6.689787766312651,1,0,0.125,3
61,5.90861546739476,0,2,0.5833333333333334,3
62,5.310206657647323,0,1,0.37142857142857144,3
63,17.968419438383368,0,1,0.3,3
64,6.8869310398944465,0,2,0.32608695652173914,3
65,16.28909856494875,0,1,0.46153846153846156,3
66,18.142556673582956,0,1,0.4375,3
67,16.443259442002134,0,1,0.2727272727272727,3
