world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-5.026401120501743,0,0,,3
2,-6.568040197451364,0,2,0.16666666666666666,3
3,5.102289690617268,0,1,0.0,3
4,-6.505973416206544,0,1,0.32,3
5,4.826049775969207,1,0,0.11764705882352941,3
6,-7.15067533778578,0,2,0.2916666666666667,3
7,-6.709674405288699,0,1,0.16666666666666666,3
8,2.0701499983382576,1,0,0.21052631578947367,3
9,-7.539975752125083,0,2,0.2,3
10,-2.3829395253669676,0,0,0.08823529411764706,3
11,-9.967235084004223,0,2,0.23333333333333334,3
12,4.870491687483414,1,0,,3
13,-8.84488669048798,0,1,0.1111111111111111,3
14,-4.98683612347111,0,1,0.125,3
15,-4.7482088326916285,0,1,0.0,3
16,6.526380352394496,0,1,,3
17,-3.987101341844332,0,0,0.32142857142857145,3
18,-6.28692985187562,0,1,0.5,3
19,9.158270759059763,0,0,0.0,3
20,6.557883262188426,1,0,0.2727272727272727,3
21,17.972219612735397,1,0,0.16666666666666666,3
22,-9.520083420533831,0,1,0.15,3
23,-6.6403255526088705,0,1,0.10714285714285714,3
24,5.60054818661034,0,1,0.18604651162790697,3
25,-6.268158787389978,0,1,0.1951219512195122,3
26,7.935225994969346,0,0,0.14,3
27,-6.394747576900772,0,1,0.058823529411764705,3
28,-6.686234306086163,0,2,0.20754716981132076,3
29,-6.168391593390712,0,1,0.5,3
30,6.0051860538043265,1,0,0.1,3
31,6.917494178198763,0,1,0.21428571428571427,3
32,-4.451564868642751,0,1,0.3333333333333333,3
33,6.377427547849089,1,0,0.1111111111111111,3
34,6.0480637640110055,1,0,0.14285714285714285,3
35,7.002360523205958,1,0,0.2,3
36,17.895444031830667,0,1,0.16666666666666666,3
37,-3.0472846403192775,0,1,0.0,3
38,6.787618807431346,1,0,0.5,3
39,6.112859614568646,0,2,0.06666666666666667,3
40,5.3023654773826285,1,0,,3
41,18.063785326426967,2,0,0.0,3
42,7.022935523365807,0,1,0.34615384615384615,3
43,5.52369648531,1,0,0.3333333333333333,3
44,-4.623373839692593,0,1,0.34615384615384615,3
45,4.891739321454605,1,0,0.25,3
46,4.681260137635737,0,1,0.25,3
47,-5.379355172975402,0,1,,3
48,-5.388487741661126,0,1,,3
49,-6.908885134310347,0,1,0.16666666666666666,3
50,5.241771826395003,0,1,0.1935483870967742,3
51,4.557075434223898,1,0,0.8333333333333334,3
52,3.899833622538337,1,0,0.5,3
53,6.173059116277758,0,1,,3
54,-4.592771702710661,0,1,0.125,3
55,-7.457647786711433,0,1,0.36666666666666664,3
56,-5.8394487253437655,0,1,0.3333333333333333,3
57,-7.059093820378462,0,2,0.4,3
58,-6.047941759647716,0,1,1.0,3
59,8.497885155090605,0,0,0.25,3
60,4.23291029122529,1,0,0.0,3
61,-7.729920064683372,0,1,0.2727272727272727,3
62,18.212765187144413,1,0,0.3333333333333333,3
63,5.364455993874018,0,2,0.2727272727272727,3
64,-7.0364677991398805,0,1,0.18181818181818182,3
65,6.451462081771503,0,2,0.17857142857142858,3
66,18.397383868889033,1,0,0.5,3
67,18.192901270898105,0,1,0.25,3
68,-5.268986099653209,0,1,0.25,3
69,18.506565557536902,1,0,0.3181818181818182,3
70,-4.321270909405171,0,1,0.34210526315789475,3
71,-4.930820288683124,0,1,0.25,3
72,6.666384013582742,1,0,0.2826086956521739,3
73,18.30457678170695,1,0,0.1956521739130435,3
74,-5.028850202695497,0,1,0.25,3
75,6.849845737635364,0,1,0.25,3
76,-5.964535996151073,0,1,0.0,3
77,18.201944160710013,0,1,0.25806451612903225,3
78,18.27030641350956,1,0,0.16666666666666666,3
79,17.72191835118183,1,0,0.2222222222222222,3
80,7.054465531373473,0,1,0.2857142857142857,3
81,29.088013595885247,1,0,0.08333333333333333,3
82,18.257656856169458,1,0,,3
83,29.127636927371412,1,0,0.3333333333333333,3
84,16.93115346331881,1,0,0.25,3
85,17.809997925031627,1,0,,3
86,6.480853438447332,0,2,0.21428571428571427,3
87,17.87156331866376,0,1,0.26666666666666666,3
88,7.273686403048392,1,0,0.1,3
89,16.674785212089116,1,0,,3
90,16.68323639159976,1,0,,3
91,17.897464862737404,0,1,0.0,3
92,28.873992454215124,1,0,,3
93,28.98304923704758,1,0,,3
94,17.838105932733377,0,1,,3
95,5.349494040800539,0,1,0.2857142857142857,3
96,17.8812272556812,0,1,,3
97,29.1378530088929,1,0,,3
98,16.53826345815,1,0,,3
99,29.157259763591526,1,0,,3
100,7.29204100329693,0,2,0.0,3
101,29.069506382991975,1,0,,3
102,29.464009966759118,1,0,,3
103,17.33212910017302,1,0,0.125,3
104,29.2265075865258,1,0,,3
105,18.002508463398964,0,1,,3
106,16.706669063516653,1,0,,3
107,17.924935217217634,0,1,0.0,3
108,16.71776098769757,1,0,,3
109,29.12288830770424,1,0,,3
110,29.294307046152852,1,0,,3
111,29.341832969498512,1,0,0.0,3
112,-4.716945760119666,0,1,0.16666666666666666,3
113,-4.959138466038218,0,1,0.3333333333333333,3
114,6.110693365093195,0,1,0.23809523809523808,3
115,18.003678386252208,1,0,0.2619047619047619,3
116,29.134981860737057,1,0,0.3125,3
117,29.356487015974196,1,0,0.5,3
118,29.448056214925213,1,0,,3
119,29.320775013721512,1,0,,3
120,17.952837409279386,0,1,,3
121,18.124038851034495,0,1,,3
122,17.82947190865455,0,1,0.15384615384615385,3
123,17.98671178934382,1,0,,3
124,17.993466335801386,0,1,,3
125,18.065235416880764,0,1,0.16666666666666666,3
126,29.183251206134752,1,0,,3
127,29.356993626534422,1,0,,3
128,29.275183864646213,1,0,,3
129,29.429746264255186,1,0,0.21428571428571427,3
130,29.61271870488822,1,0,,3
131,-6.18210780198735,0,2,0.0,3
132,16.616581468891344,1,0,0.375,3
133,7.075793968991743,0,2,0.125,3
134,18.51807832932069,0,1,0.5,3
135,29.495879783254228,1,0,,3
136,17.99644741770268,1,0,0.125,3
137,29.403731402719313,1,0,0.3,3
138,6.422367897790951,1,0,0.14285714285714285,3
139,29.413426428912842,1,0,0.5,3
140,29.274239735973964,1,0,,3
141,17.973057011365476,0,1,,3
142,17.894227036588774,1,1,,3
143,29.462939203575573,1,0,,3
144,29.28898030355501,1,0,,3
145,18.134647061077786,0,1,,3
146,18.005656406931866,0,1,,3
147,29.38959801565326,1,0,0.4,3
148,29.171877319628322,1,0,0.08333333333333333,3
149,29.16108390582284,1,0,0.5,3
150,29.371297478724188,1,0,0.2,3
151,29.47113637339865,1,0,0.0,3
152,29.42104594258056,1,0,,3
153,17.983751029984106,0,1,,3
154,18.08460584727823,0,1,0.0,3
155,29.35086050156527,1,0,0.2857142857142857,3
156,29.338318877944534,1,0,0.16666666666666666,3
157,29.373246033214915,1,0,,3
158,29.28616210745966,1,0,0.3333333333333333,3
159,29.562656228713195,1,0,1.0,3
160,20.959832624665026,0,0,0.25,3
161,18.020823272470825,1,0,0.3125,3
162,18.419095505343687,0,1,,3
163,6.590536136980536,0,1,0.23529411764705882,3
164,29.10312254937864,1,0,0.22727272727272727,3
165,29.29048021478992,1,0,0.3,3
166,29.262650439785233,1,0,,3
167,-4.573701119122416,0,0,0.0625,3
168,17.55663847451036,1,0,0.0,3
169,16.719706972184497,1,0,0.4,3
170,29.466585103746624,1,0,,3
171,29.392782934788546,1,0,0.0,3
172,29.48400386271045,1,0,0.14285714285714285,3
173,29.420395865750677,1,0,0.2,3
174,29.48011977944029,1,0,1.0,3
175,17.97581480061314,1,0,0.2222222222222222,3
176,29.52993669058539,1,0,,3
177,29.632328721698475,1,0,0.0,3
178,29.337496656443268,1,0,0.0,3
179,29.410772845013852,1,0,0.0,3
180,17.76500110545027,0,1,,3
181,9.544276472652227,0,0,,3
182,16.885639457875516,0,1,,3
183,18.02237264052246,1,0,,3
184,16.080307037863907,0,1,,3
185,5.163610672951813,0,1,0.25,3
186,17.97636870321252,1,0,0.3,3
187,19.1257213361957,0,0,0.0625,3
188,6.24939108324703,1,0,0.0,3
189,6.91748194970057,1,0,,3
190,9.07043383710164,0,0,,3
191,18.108049949145663,1,0,0.25,3
192,6.585939446188817,0,1,0.0,3
193,5.091535771088968,0,1,0.3333333333333333,3
