world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-0.6124742204510545,0,0,0.26666666666666666,3
2,-6.187883279805303,0,0,0.0625,3
3,-7.914883456015708,0,1,0.16666666666666666,3
4,-8.472488582140336,0,1,0.3,3
5,-9.275657435538369,0,1,0.16666666666666666,3
6,-3.254051525778591,0,0,0.21428571428571427,3
7,-10.068662420774142,0,1,0.13157894736842105,3
8,-10.662556118249656,0,2,0.4444444444444444,3
9,0.08054948748089392,0,0,0.2,3
10,-9.062035553955301,0,1,0.1935483870967742,3
11,-8.603377346641784,0,1,0.0,3
12,-7.942354917996046,0,1,0.17857142857142858,3
13,-5.333303232267889,0,0,0.2619047619047619,3
14,2.881362685299971,1,0,0.34210526315789475,3
15,-9.731050189410338,0,2,0.11904761904761904,3
16,-7.363215466814236,0,2,0.323943661971831,3
