world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-6.862168652635639,0,3,,3
2,-5.65141795456073,0,2,,3
3,-7.288995117824473,0,3,,3
4,-5.718111347824714,0,3,,3
5,2.7410697013549004,1,2,0.5,3
6,-8.468613098261523,0,3,0.17857142857142858,3
7,4.479196025428897,1,2,0.1,3
8,-8.870662270979714,0,3,0.2905982905982906,3
9,-5.701929845794133,0,3,0.25,3
10,-10.171452217603388,0,3,0.23684210526315788,3
11,-9.810292113895956,0,3,0.4166666666666667,3
12,-10.671056432174012,0,3,0.4166666666666667,3
13,-6.297860838330773,0,2,0.16666666666666666,3
14,-6.280310622638084,0,3,0.25,3
15,1.1224634327224408,0,1,0.2,3
16,-9.511862561080719,0,3,0.1956521739130435,3
17,6.803755970600807,1,1,0.21666666666666667,3
18,5.179267671837184,1,2,,3
19,-9.863043390177202,0,3,0.33962264150943394,3
20,-0.9792021840167621,0,1,0.2765957446808511,3
21,-10.77453391998017,0,3,0.5,3
22,-7.399086217283362,0,2,0.25,3
23,9.158721747732015,1,0,0.21052631578947367,3
24,-5.319612708928044,0,2,0.4444444444444444,3
25,-6.484830231547742,0,3,0.1,3
26,4.526955359156272,1,2,0.2,3
27,-6.128304472253672,0,2,0.3333333333333333,3
28,7.19208267861848,1,1,0.5,3
29,-3.6234806680994427,0,2,0.2857142857142857,3
30,-6.67206967404987,0,3,0.3333333333333333,3
31,-4.140839479162893,0,2,0.125,3
32,9.077203644966064,1,1,0.3,3
33,-10.080963034464446,0,3,0.46296296296296297,3
34,-4.382238511481595,0,2,0.30434782608695654,3
35,-2.9066267081357418,0,2,0.375,3
36,6.9046001873525995,1,1,0.21428571428571427,3
37,18.276474266293476,2,1,,3
38,5.231655326332583,1,2,0.23076923076923078,3
39,6.640315938535873,1,1,0.29411764705882354,3
40,-4.138998753546005,0,2,0.625,3
41,-5.73835002908369,0,3,0.35,3
42,4.655084689875442,1,2,,3
43,-7.893183715200666,0,3,0.25,3
44,4.933918019025546,1,2,,3
45,-7.022309887885494,0,3,0.5,3
46,3.6532483085824006,1,2,0.0,3
47,-6.594007488246196,0,3,0.3392857142857143,3
48,6.2894177974759655,1,2,0.23076923076923078,3
49,-3.1942614131489067,0,2,0.3,3
50,-4.674282088356211,0,2,0.5555555555555556,3
51,5.984791883725599,1,2,0.2857142857142857,3
52,-2.460392088536683,0,1,0.325,3
53,-2.2774834669719444,0,2,0.375,3
54,-3.6203548147197235,0,2,0.35714285714285715,3
55,17.330151497977386,2,1,0.16666666666666666,3
56,4.2138290208448295,1,2,0.4375,3
57,5.893811095134204,1,1,0.35714285714285715,3
58,4.353937013533874,1,2,0.4090909090909091,3
59,-3.395780784104111,0,2,0.5,3
60,14.594307522850329,1,0,0.25,3
61,20.682599974290092,2,0,0.4,3
62,21.99507058494159,2,0,0.5,3
63,21.993186725807167,2,0,0.25,3
64,9.431234014188778,1,1,0.22727272727272727,3
65,21.894271504898736,2,0,0.35,3
66,5.096826410799283,1,2,0.36363636363636365,3
67,-2.8672248126325406,0,2,0.21428571428571427,3
68,-1.0265937868708122,0,2,0.07142857142857142,3
69,-1.3967001906254746,0,2,0.2,3
70,29.319750687353615,3,0,0.4,3
71,8.312283246166304,1,1,0.34615384615384615,3
72,8.004160259801635,1,2,0.38636363636363635,3
73,3.2215671106961863,0,1,0.225,3
74,-1.4031286449875102,0,2,0.16666666666666666,3
75,21.55594203896438,2,0,0.2222222222222222,3
76,10.053335653260875,1,1,0.1,3
77,21.87489395249428,2,0,,3
78,4.8900997258273975,1,2,0.2857142857142857,3
79,7.906700242594803,1,2,0.3333333333333333,3
80,-6.146705043622789,0,3,0.25,3
81,2.797616388496239,1,2,0.1875,3
82,-4.75407727872041,0,2,0.375,3
83,0.6202710629479847,0,1,0.24,3
84,9.189007563009119,1,1,0.23529411764705882,3
85,-7.749255993226758,0,3,0.30625,3
86,8.818548091191726,1,1,0.0,3
87,-6.558968907172647,0,3,0.3333333333333333,3
88,4.7958433222844725,1,2,0.17857142857142858,3
89,5.788889273666695,1,1,0.2642857142857143,3
90,5.301284050073566,1,2,0.3235294117647059,3
91,28.759946462793938,3,0,0.3088235294117647,3
92,17.111297530009725,2,1,0.28,3
93,7.037421367131523,1,2,0.3389830508474576,3
94,28.798928598880337,3,0,0.16666666666666666,3
95,28.41800255486576,3,0,0.32608695652173914,3
96,17.394562805871725,2,1,0.2903225806451613,3
97,17.18144733828835,2,1,0.3404255319148936,3
98,6.924000006214347,1,2,0.18421052631578946,3
99,28.81584278431518,3,0,0.3780487804878049,3
100,16.18166644009865,2,1,0.3482142857142857,3
101,28.933223562497428,3,0,0.3484848484848485,3
102,7.731724336139926,1,2,0.36904761904761907,3
103,17.94740115592605,2,1,,3
104,-5.950338346341578,0,3,0.22727272727272727,3
