world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,1.4620764474074086,1,2,0.4230769230769231,3
2,-7.096589375535647,0,3,0.3125,3
3,-7.987430491248763,0,3,0.5,3
4,-6.417888712088266,0,3,0.34375,3
5,-4.97301940798759,0,2,0.5,3
6,-8.287738137642533,0,3,0.25,3
7,1.3449388011296601,1,2,0.25,3
8,-10.552697696089734,0,3,0.36363636363636365,3
9,-6.986299792329465,0,2,0.5769230769230769,3
10,-8.61160765886306,0,3,0.6,3
11,-7.642543942133585,0,3,0.6666666666666666,3
12,-8.004896934231121,0,3,0.5,3
13,-6.763535397847484,0,2,0.4,3
14,0.7193411435683643,1,2,0.4166666666666667,3
15,3.2439297866821293,1,2,0.125,3
16,2.988106776873271,1,2,0.0,3
17,3.1620356142520905,1,2,0.75,3
18,-6.016638709704071,0,2,0.25,3
19,-8.626213671167688,0,3,0.25,3
20,4.22135877887408,1,2,0.4444444444444444,3
21,3.826334344148641,1,2,0.2222222222222222,3
22,-8.393128950198493,0,3,0.4,3
23,-7.187222473422686,0,3,0.8,3
24,-7.559650395512576,0,3,0.2,3
25,3.1896265784899405,1,2,0.3888888888888889,3
26,-7.375892216563224,0,3,0.0,3
27,3.175741793314615,1,2,0.25925925925925924,3
28,2.0858027126391767,1,2,0.2777777777777778,3
29,2.8270781314373075,1,2,0.2,3
30,13.52828840871652,2,1,0.3181818181818182,3
31,-8.80136225382487,0,3,0.5,3
32,-9.797826166550317,0,3,0.5,3
33,-6.154489415287972,0,3,0.3333333333333333,3
34,-8.76542738775412,0,3,0.0,3
35,-7.8635213166475255,0,3,,3
36,2.4796310504277543,1,2,0.4166666666666667,3
37,2.1044684783617655,1,2,0.21428571428571427,3
38,4.006332145929336,1,2,0.4,3
39,-9.94775997797648,0,3,,3
40,13.057477435866994,2,1,0.2962962962962963,3
41,3.208790539105733,1,2,0.5,3
42,4.051082818508148,1,2,0.25,3
43,3.2066050497690832,1,2,0.0,3
44,13.66900614062945,2,1,0.18181818181818182,3
45,0.9067968471845008,1,2,,3
46,-10.182105631629623,0,3,0.16666666666666666,3
47,-6.972185474832853,0,3,0.375,3
48,-9.026080546776448,0,3,0.45,3
49,12.785501098632812,2,1,0.0,3
50,5.125642821590108,1,2,0.25,3
51,-8.970269110997515,0,3,0.2,3
52,2.3801877089341477,1,2,0.2857142857142857,3
53,3.7882583220799826,1,2,,3
54,-8.789422989090282,0,3,0.5,3
55,-9.164014541308083,0,3,0.5,3
56,-7.063253831863402,0,3,0.0,3
57,-7.446936298410094,0,3,,3
58,-8.828955850601195,0,3,0.5,3
59,2.5794514318307242,1,2,0.1,3
60,3.1077138706048335,1,2,0.14285714285714285,3
61,-8.915156631469724,0,3,0.75,3
62,-8.344967182477316,0,3,0.2,3
63,0.3254672122001698,1,2,0.3333333333333333,3
64,-9.160743824044859,0,3,0.5,3
65,1.770373061299325,1,2,0.75,3
66,-8.712994710206985,0,3,0.3333333333333333,3
67,-6.278272368113195,0,3,0.4166666666666667,3
68,3.926514143149061,1,2,0.0,3
69,3.262485284209251,1,2,0.7777777777777778,3
70,24.383091519276302,3,0,0.6666666666666666,3
71,-7.5995847809314725,0,3,0.3333333333333333,3
72,3.2226721894741055,1,2,0.5,3
73,-7.449016550381974,0,3,,3
74,3.8801198995113375,1,2,0.3,3
75,3.156400741338729,1,2,0.25,3
76,-7.728391638795532,0,3,0.5,3
77,1.4774686004718163,1,2,0.75,3
78,-8.295620600382486,0,3,0.25,3
79,-7.288776660760244,0,3,1.0,3
80,-8.54761560122172,0,3,0.5,3
81,-7.521789687077205,0,3,0.4444444444444444,3
82,-7.532820350329074,0,2,0.35714285714285715,3
83,15.8252624475956,2,0,0.25,3
84,-7.809982593456904,0,3,0.625,3
85,13.435144447485605,2,1,0.2,3
86,1.857106301188472,1,2,,3
87,25.068956104119618,3,0,0.11764705882352941,3
88,2.3861764701207497,1,2,,3
89,-9.623872386813163,0,3,0.16666666666666666,3
90,-7.770940455993016,0,3,0.0,3
91,3.0692306764920563,1,2,,3
92,14.301259462038677,2,1,,3
93,13.640456375281017,2,1,,3
94,3.172651679913203,1,2,0.0,3
95,3.589315321445465,1,2,0.18181818181818182,3
96,2.449642085433009,1,2,0.2,3
97,-8.79303955157598,0,3,0.4,3
98,-3.1886308902501894,0,2,0.2,3
99,4.742709122498831,1,2,0.0,3
100,-9.10655593951543,0,3,0.07142857142857142,3
101,-9.17093952198823,0,3,0.05,3
102,-10.493221703767775,0,3,0.21428571428571427,3
103,24.36372389237086,3,0,0.1875,3
104,-9.207884698510167,0,3,0.3333333333333333,3
105,-7.820177309910457,0,3,0.5,3
106,12.913366351127626,2,1,0.5,3
107,0.24155242343743902,1,2,0.21739130434782608,3
108,3.4940136909484862,1,2,0.1,3
109,3.048156657020254,1,2,0.125,3
110,13.50567136913538,2,1,,3
111,-6.159132716655726,0,3,0.5,3
112,-7.783611790339147,0,3,0.42857142857142855,3
113,2.5392368427912397,1,2,0.5,3
114,-5.1418151879310585,0,2,0.1,3
115,2.7638993517557773,1,2,0.0,3
116,-8.54381673614184,0,3,0.08333333333333333,3
117,-7.15815347174803,0,3,0.21428571428571427,3
118,2.1053242397308374,1,2,0.5,3
119,3.6620012764136014,1,2,0.08333333333333333,3
120,-7.281688757737477,0,3,0.375,3
121,2.675007032354673,1,2,0.0,3
122,2.159877304236094,1,2,,3
123,-7.3828285570939345,0,3,0.0,3
124,2.824049936930338,1,2,0.25,3
125,0.9713756237427434,1,2,0.1,3
126,-9.214644898176191,0,3,0.0,3
127,-9.591452756722761,0,3,0.2857142857142857,3
128,11.379588903188713,2,1,0.16666666666666666,3
129,-9.493540575106937,0,3,0.0,3
130,-6.102525086800256,0,3,0.625,3
131,-9.435817734797796,0,3,0.0,3
132,-8.940025801261266,0,3,0.15384615384615385,3
133,2.728459585309029,1,2,0.0,3
134,-8.598514947891227,0,3,0.4166666666666667,3
135,4.240055450399719,1,2,,3
136,2.03061309059461,1,2,0.0,3
137,-7.032879006862639,0,3,0.3333333333333333,3
138,25.20612424751123,3,0,0.25,3
139,4.461677979230881,1,2,0.25,3
140,4.000581513245905,1,2,0.4230769230769231,3
141,-6.841682209968567,0,3,0.5,3
142,11.942065212726591,2,1,0.0,3
143,3.988923829197889,1,1,0.5,3
144,-8.963716997106866,0,3,0.2222222222222222,3
145,-8.158190402587254,0,3,0.375,3
146,13.775096707741419,2,1,0.21428571428571427,3
147,3.186172874768577,1,2,0.25,3
148,13.983975939551991,2,1,0.25,3
149,26.764517066876095,3,0,0.25,3
150,14.995697941184048,2,1,,3
151,-7.246604926983515,0,3,0.4444444444444444,3
152,-7.23182800968488,0,3,0.3125,3
153,14.555387565692271,2,1,0.14285714285714285,3
154,3.762099449634553,1,2,0.375,3
155,3.5829638457298305,1,2,0.18181818181818182,3
156,1.7514431055386919,1,2,0.14285714285714285,3
157,25.7595181953907,3,0,0.2857142857142857,3
158,3.3995798707008498,1,2,0.2571428571428571,3
159,4.02325443983078,1,2,0.0,3
160,13.391867983341223,2,1,0.13636363636363635,3
161,14.25946383913358,2,1,,3
162,-6.585629006624221,0,3,0.25,3
163,1.7244459891319295,1,2,0.25,3
164,2.969461015462876,1,2,,3
165,-8.463612557649611,0,3,0.3684210526315789,3
166,3.302676283518478,1,2,0.0,3
167,13.75326927045981,2,1,0.4,3
168,-8.331035718917846,0,3,0.25,3
169,-8.27876817703247,0,3,0.3333333333333333,3
170,3.563978779713312,1,2,0.5,3
171,4.284242435693744,1,2,0.0,3
172,25.88518370747566,3,0,0.15384615384615385,3
173,1.4698260792096451,1,2,0.16666666666666666,3
174,13.844300518035894,2,1,,3
175,-8.085081110000608,0,3,,3
176,4.028245135148367,1,2,,3
177,13.761784870425862,2,1,0.3333333333333333,3
178,-8.163136835098266,0,3,0.25,3
179,3.067332332134247,1,2,0.125,3
180,14.731927252213163,2,1,0.19047619047619047,3
181,-4.3415417852004285,0,2,,3
182,-6.269589964747428,0,3,0.25,3
183,15.338592033783593,2,1,,3
184,23.831036208470664,3,0,0.2,3
185,15.011453908284514,2,0,0.375,3
186,-7.683758342067399,0,3,0.0,3
187,3.9377763402462023,1,2,0.2,3
188,14.728733540376032,2,1,,3
189,3.094325841466585,1,2,0.3125,3
190,3.192078785498939,1,2,0.375,3
191,14.42348817984263,2,1,0.3,3
192,14.978361493150393,2,1,0.25,3
193,13.500381973584496,2,1,0.0,3
194,3.9795438243945456,1,2,0.23684210526315788,3
