world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-13.299161469039731,1,2,0.3076923076923077,3
2,-18.198006496422895,0,3,0.3125,3
3,-23.743104855370547,0,3,0.3333333333333333,3
4,-30.67294930258358,0,2,0.5,3
5,-4.873229653330302,1,2,0.5454545454545454,3
6,-5.522662143553878,1,2,0.125,3
7,-23.912825542103164,0,3,0.16666666666666666,3
8,-22.77209074123847,1,1,0.18421052631578946,3
9,-30.091614809203282,0,2,0.5,3
10,5.513329939443834,2,1,0.3333333333333333,3
11,-24.981112142360754,0,3,0.68,3
12,-23.19391007232191,0,3,0.125,3
13,-35.95184524336732,0,3,0.3333333333333333,3
14,-13.269589561498824,1,2,0.6666666666666666,3
15,-24.961707923078293,0,3,1.0,3
16,-3.980605119726062,1,2,0.5,3
17,6.693341434139142,2,1,,3
18,-28.64942569448228,0,2,0.5,3
19,-35.41065825566334,0,3,0.23333333333333334,3
20,-31.09099393573668,0,3,0.45098039215686275,3
21,-21.131616981346472,0,3,,3
22,-18.930378165948728,0,3,1.0,3
23,-31.655984185105527,0,3,0.5,3
24,7.772643036858065,2,1,1.0,3
25,-2.8821731371018906,1,2,0.75,3
26,-19.13636983472393,0,3,0.25,3
27,-18.107133306968397,0,3,0.5238095238095238,3
28,-19.7635251182704,0,3,0.5,3
29,-21.267522165977123,0,3,,3
30,-32.68388771337094,0,3,0.3076923076923077,3
31,-18.933595127935327,0,3,0.2857142857142857,3
32,-24.258799510498847,0,3,0.0,3
33,-23.512755135445005,0,3,0.4375,3
34,-28.817741062147363,0,2,0.25,3
35,-27.07006394786558,0,3,0.14285714285714285,3
36,-5.7875621981091525,1,2,0.6521739130434783,3
37,-22.072301696731603,0,3,0.3076923076923077,3
38,-18.303573465726096,0,3,0.0,3
39,-23.590061048891737,0,3,0.3333333333333333,3
40,-18.595615422000662,0,3,0.3333333333333333,3
41,-10.549882322749607,1,2,0.5,3
42,-28.159159485789292,0,3,0.15789473684210525,3
43,-18.789259341968705,0,3,0.2,3
44,-20.165031596553792,0,3,0.2,3
45,-25.530393284151632,0,3,,3
46,-25.43468384620753,0,3,0.0,3
