world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-32.550946348794874,0,3,,3
2,-31.57312516766603,0,2,,3
3,-29.57936240386594,0,2,0.0,3
4,-30.793227915190098,0,2,,3
5,-33.862820015372534,0,2,0.18421052631578946,3
6,-45.33170849711329,0,3,0.10606060606060606,3
7,-28.32293064119901,0,3,,3
8,-27.501474971933344,0,3,0.0,3
9,-25.34825473903075,0,3,0.2222222222222222,3
10,-25.456281252564747,0,3,0.3333333333333333,3
11,-25.197922942244485,0,3,0.16666666666666666,3
12,-25.487165210546333,0,3,0.0,3
13,-18.593498221313293,0,3,0.25,3
14,-30.639881104823758,0,3,0.2,3
15,-18.939337127603945,0,3,0.4642857142857143,3
16,-6.6457301451968585,1,2,0.2,3
17,-25.91469234612754,0,3,0.2391304347826087,3
18,-22.415326490397533,0,3,0.1875,3
19,-25.49451397381331,0,3,0.11538461538461539,3
20,-21.009649209782157,0,3,0.3333333333333333,3
21,-19.387421853366092,0,3,0.3,3
22,-23.776820327084817,0,3,0.07142857142857142,3
23,-19.51257356347222,0,3,0.1891891891891892,3
24,-2.327911399916031,1,2,0.38461538461538464,3
25,-18.29155950650924,0,3,0.26666666666666666,3
26,-19.234751546464775,0,3,0.2916666666666667,3
27,-18.640428115380303,1,2,0.5,3
28,-19.180898418666846,0,3,0.3333333333333333,3
29,-22.09270828394645,0,3,0.25,3
30,-12.16297916873147,1,2,0.2,3
31,-16.68019183046192,0,3,0.25,3
32,-17.819375648194818,0,3,0.25,3
33,-6.9692986661847165,1,2,0.14285714285714285,3
34,-19.744737663856053,0,3,0.23333333333333334,3
35,-17.190428414750773,0,3,0.2222222222222222,3
36,-4.8504727814685715,1,2,0.34375,3
37,-5.628850530345818,1,2,0.29411764705882354,3
38,-7.365563678434419,1,2,0.24489795918367346,3
39,-17.517697205570887,0,3,0.75,3
40,-16.526245617897597,0,3,0.5,3
41,-2.460677567650405,1,2,0.4444444444444444,3
42,-17.382349340645465,0,3,0.5,3
43,-21.270509676499913,0,3,0.4166666666666667,3
44,-17.41839415388235,0,3,0.21428571428571427,3
45,-17.522783266959905,0,3,0.25,3
46,-17.501266184652206,0,3,0.0,3
47,-16.86989707143929,0,3,0.0,3
48,-17.954317599911004,0,3,0.75,3
49,-12.895517349279848,1,2,0.13953488372093023,3
50,-2.8262239000859495,1,2,0.2,3
51,7.601074992281826,2,1,0.10526315789473684,3
52,-18.93030417067571,0,3,0.07142857142857142,3
53,-22.263640909600753,0,3,0.25,3
54,-8.11724727068206,1,2,0.25,3
55,-2.2298849927971225,1,2,0.16666666666666666,3
56,-7.813037456357969,1,2,,3
57,-23.39316992812716,0,3,0.3076923076923077,3
58,-20.751129585462596,0,3,0.19230769230769232,3
59,-1.6209110527807031,1,2,0.15789473684210525,3
60,-5.5996753266300345,1,2,0.16666666666666666,3
61,8.347400677144632,2,1,0.13333333333333333,3
62,-11.042008344838424,1,1,0.25,3
63,-2.256430133933866,1,2,0.14285714285714285,3
64,5.318978380014113,2,1,0.16666666666666666,3
65,-3.617202469126776,1,2,0.4,3
66,3.259241308803396,2,1,0.3888888888888889,3
67,7.955045260364312,2,1,0.2857142857142857,3
68,23.904380715892035,3,0,0.16666666666666666,3
69,-6.252403278016973,1,2,0.08333333333333333,3
70,21.32980540330244,3,0,0.19444444444444445,3
71,7.1139421245184815,2,1,0.2916666666666667,3
72,-21.095595961103967,0,3,,3
73,-3.1946035423036,1,2,0.1,3
74,-20.168969522147403,0,3,0.21428571428571427,3
75,-19.713697447870643,0,3,0.08333333333333333,3
76,-5.1268740637574455,1,2,0.25,3
77,-5.273131015593964,1,2,0.4,3
78,-21.03141027196723,0,3,0.23404255319148937,3
79,-22.57518230779282,0,3,0.16666666666666666,3
80,-2.8701127135912152,1,2,0.1111111111111111,3
81,-5.903460190831645,1,2,0.2,3
82,-3.083092111545304,1,2,0.1875,3
83,-7.22663150354327,1,2,0.20588235294117646,3
84,-17.690250669787243,0,3,0.5,3
85,-17.546712013022624,0,3,0.5,3
86,-16.41475733753222,0,3,0.25,3
87,-19.492421355767625,0,3,0.36363636363636365,3
88,-19.44350870266986,0,3,0.25,3
89,-16.7406896305361,0,3,0.4166666666666667,3
90,-3.831823140539035,1,2,0.5,3
91,-17.824202794113123,0,3,0.5,3
92,-8.174230500913,1,2,0.25862068965517243,3
93,-2.923472839512454,1,2,0.3333333333333333,3
94,-16.153627196425045,0,3,0.35,3
95,-16.93663714229268,0,3,0.25,3
96,-19.25169121874453,0,3,0.3076923076923077,3
97,-16.611009980381166,0,3,0.16666666666666666,3
98,-16.531072510880065,0,3,0.22727272727272727,3
99,-3.6365557196645786,1,2,0.2692307692307692,3
100,-16.593854189810532,0,3,0.16666666666666666,3
101,-3.3027781961988083,1,2,0.0,3
102,10.22925840744082,2,1,0.25,3
103,-4.10483682996079,1,2,0.05555555555555555,3
