world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
1,-7.176139833826092,0,3,0.16666666666666666,3,,,
2,-6.211317442916484,0,3,0.3181818181818182,3,,,
3,-4.4305074720620174,0,3,0.25,3,,,
4,-6.109330010593541,0,3,0.125,3,,,
5,9.26437577001503,1,0,0.6666666666666666,3,,,
6,-3.201666241792225,0,2,0.22727272727272727,3,,,
7,-4.868229180357036,0,3,0.2777777777777778,3,,,
8,-4.702896834568811,0,2,0.5,3,1.905224745975265,0.2919391984520834,0.19524207786668704
9,-1.5858269984862996,0,2,0.3055555555555556,3,1.2298786722868682,0.20206451606936754,0.18502136565744876
10,-7.79884018237599,0,3,0.1875,3,0.9205193373502469,0.11609512755610779,0.17695389498098224
11,-5.955031434662452,0,3,0.5,3,0.9880755951007207,0.10633371621370316,0.1739757239818573
12,-5.894751839776838,0,3,0.08333333333333333,3,0.9992851280858592,0.05720912166945045,0.17048242309736827
13,-3.766108882740363,0,2,0.2222222222222222,3,0.8258222847804427,0.037576562201138586,0.16262308716773988
14,-2.6896791535528632,0,2,0.15,3,0.6367843504622579,-0.04038499161135405,0.15346418596804143
15,-5.358088625195255,0,3,,3,0.5760677201407296,-0.10894218359940819,0.1467023944216115
16,10.386249303761312,1,1,0.2786885245901639,3,0.5382581962272525,-0.1322582013485953,0.14031402297317982
17,-4.913823902362238,0,3,0.4666666666666667,3,0.5537913319830959,-0.1505860211327672,0.13495948145518433
18,-0.7646613522053466,0,2,0.14285714285714285,3,0.5771113341301679,-0.14477957846596837,0.12988243699073793
19,17.51363144725605,2,1,0.36363636363636365,3,0.663634350666633,-0.18457107785611582,0.12428379943992338
20,29.26168846434119,3,0,,3,0.9070956425332442,-0.2904542853101725,0.12093591889957102
21,29.48455517594347,3,0,0.25,3,0.9386627958328636,-0.3830829662167364,0.11872170134275048
22,29.341571023060066,3,0,,3,0.909781988482086,-0.44810632722718374,0.11709795451285887
23,29.342778675553728,3,0,,3,0.8308013716340065,-0.48090718388557435,0.1155658957362175
24,29.472842265366506,3,0,0.3,3,1.5338817337019877,-0.6461628506129439,0.11414688927206126
25,29.447502156473238,3,0,0.3333333333333333,3,1.0194124372845346,-0.6843987882814624,0.11286595446819608
26,18.260037563733093,2,1,0.375,3,1.1679872281021542,-0.79365756644143,0.11160704675647948
27,29.358357541792426,3,0,,3,1.3516089674588796,-0.8773022382645994,0.11047205973315884
28,-4.632080530211694,0,3,0.25,3,1.2508951459418645,-0.8553921241651882,0.10967094044793736
29,-4.631597197232529,0,3,0.5,3,1.3580200306393884,-0.9632990292527459,0.1090850301764228
30,29.465653760764997,3,0,0.3,3,1.249470491978255,-1.0026881335811182,0.10821091807024046
31,-4.804521027483905,0,3,0.6666666666666666,3,1.399892311720621,-1.1731411417325337,0.10736014729454404
32,-4.600891812233602,0,3,0.375,3,1.1694781638004563,-1.0669719197533347,0.10680024054917422
