world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
1,-4.487163105408345,0,2,0.3333333333333333,3,,,
2,-8.06715282837549,0,2,0.47619047619047616,3,,,
3,3.6361101889610303,1,2,0.0,3,,,
4,-9.449768188397085,0,3,0.2857142857142857,3,,,
5,-4.472836446364719,0,1,0.375,3,1.4629882029055252,0.6264504582985587,0.19857262820005417
6,4.841365560889256,1,1,0.21428571428571427,3,1.4031159405503422,0.4396114721894264,0.1912859896570444
7,-8.117064809203148,0,3,0.3125,3,1.0568335661664605,0.3784092590212822,0.18533505499362946
8,-4.762691351572655,0,1,0.3125,3,1.1680498295649886,0.32470930214971305,0.17968049332499503
9,-6.813073627750076,0,3,0.125,3,1.1085984104160052,0.24840290944522886,0.17264427756195638
10,-5.310337386528647,0,2,0.2692307692307692,3,0.9560509308613837,0.1720998074300587,0.16604705035686493
11,4.420202193260196,1,1,0.0,3,0.8245624159276486,0.06934785223798827,0.15678110934793948
12,3.7722375146548006,1,1,0.3333333333333333,3,0.6981066813319922,-0.08652744237799198,0.14820804364979268
13,3.049854261477794,1,2,0.5357142857142857,3,0.6719461738415387,-0.17322480999257253,0.14187055139437965
14,-7.382096774578094,0,3,0.35714285714285715,3,0.8817732671373769,-0.1582724565411346,0.13859663616146958
15,4.345875761508947,1,2,0.0,3,0.658267818138761,-0.2138826274628735,0.1353886617442309
16,2.721126117308956,1,2,0.13636363636363635,3,0.6591985445354402,-0.24750524042078206,0.12977339434869511
17,2.4857845985889546,1,2,0.25,3,0.818071583868893,-0.3039262907451573,0.12421653311671192
18,2.429019227425258,1,2,0.1875,3,0.7200659642616908,-0.36759088436762494,0.12184266398350398
19,15.194495568474137,2,1,0.13636363636363635,3,0.8122550948680222,-0.34086829160231275,0.12037380697665276
20,3.294488743146261,1,2,0.25,3,0.9703357350081205,-0.32085781171917915,0.1188959707506001
21,3.110377442836764,1,2,0.16666666666666666,3,1.3736987044965778,-0.435994868753133,0.11780712753534317
22,25.045203067461653,3,0,0.16666666666666666,3,1.0003600446507335,-0.46518455632030964,0.11650143004953861
23,17.14372281710308,2,0,0.0625,3,1.1998340852558613,-0.5752513162791729,0.113087296821177
24,13.733340113957723,2,1,0.36363636363636365,3,1.4902220979332923,-0.5832610378662745,0.10980087369680405
25,2.8312584205468503,1,2,0.23076923076923078,3,1.279630476520175,-0.5771650019146147,0.10910524818159285
26,14.891595230102544,2,1,0.16666666666666666,3,1.1635654577222028,-0.6952860647904091,0.10723011519332401
27,14.818865501880646,2,1,0.375,3,1.2722679332215736,-0.7884116531052487,0.10506369712504934
28,15.127146885395057,2,1,0.25,3,1.3044486740168104,-0.8685869125926748,0.10333874900924399
29,2.7863022049268102,1,2,0.5555555555555556,3,1.2686146677304537,-0.8685042655620819,0.10127779707694665
30,25.781352758208907,3,0,0.1111111111111111,3,0.8948906331226744,-0.9666573939652279,0.10003630894011464
31,16.245135090351102,2,1,,3,1.000505982801832,-1.0123489488815438,0.09937898968828135
32,24.61128585100174,3,0,0.2,3,1.2294298143319364,-1.0967237212747898,0.09846227883167986
33,13.765131979783385,2,1,0.75,3,1.2918971958039682,-1.2240503918898256,0.09622726523423497
34,15.925450697541237,2,1,0.5,3,1.0890868703524272,-1.5430188179016113,0.09439880307763815
35,4.161398170789085,1,2,0.1956521739130435,3,1.2235604425271351,-1.4097595138427539,0.09377233282877849
36,25.92573892593384,3,0,0.125,3,1.2432447782269231,-1.3362244102689955,0.0931200721749553
37,26.250458590189613,3,0,0.2222222222222222,3,1.4000665414191427,-1.584624931925819,0.09205876450453486
38,23.578746908903124,3,0,0.46296296296296297,3,1.3251183093022958,-1.7434421185966875,0.09009424838230765
39,25.53825635711352,3,0,0.3,3,1.0237090830449704,-1.805752573189912,0.08867273893621233
40,3.4220223319530487,1,2,0.1111111111111111,3,1.527455084853702,-2.0014271868599787,0.08824422624376085
41,3.712575028340023,1,2,0.3,3,1.752281700571378,-2.1011178970336912,0.08780517180760701
42,13.545220987399418,2,1,,3,2.0695880502462387,-2.311086818575859,0.08750271145254374
43,2.263570636908215,1,2,0.6666666666666666,3,1.3570248721501765,-2.1677889365416307,0.08715399068135482
44,2.6805466928084685,1,2,0.4,3,1.1669366615159171,-2.3468577521187917,0.08680256775447301
45,7.58259913166366,1,1,0.5,3,1.4524443291127682,-2.406956905722618,0.08528551779687404
46,26.47734500447909,3,0,0.25,3,1.2906766157401235,-2.5979547061418233,0.08361529833392094
47,25.610566522677743,3,0,,3,1.3266668717066448,-2.720032956865099,0.08321477969487508
48,14.480113999396563,2,1,,3,1.370354774684617,-2.8859387513363,0.08204722589615619
49,3.6695233416557316,1,2,0.0,3,1.3699683795372646,-3.061754902203878,0.08093242098887761
50,27.633615870277087,3,0,0.25,3,1.5512124410382024,-3.025596918883147,0.080700709036103
51,25.877952564557393,3,0,,3,1.597677058643765,-3.2442869742711387,0.08043273124429914
52,15.079323674440383,2,1,,3,1.6137420972188314,-3.424971516927083,0.08024613360563913
53,2.3737412524223327,1,2,0.5,3,2.0982402052198137,-3.597778184073312,0.08012518073831286
54,25.80782150824865,3,0,,3,1.672005850335826,-3.50518740778384,0.07996820755626845
55,2.836156553228695,1,2,0.125,3,1.1618271052837372,-3.416951823234558,0.07978950664401055
