world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss
1,-27.752229378631654,0,2,0.16666666666666666,3,,
2,-5.042814392366556,1,2,0.2,3,,
3,-30.888730085511156,1,2,0.23333333333333334,3,,
4,-28.43288693616246,0,2,0.36363636363636365,3,,
5,-19.33326733843049,0,3,0.1875,3,,
6,-2.1457076196386,2,1,0.4117647058823529,3,6.283515815623105,0.8792595453560352
7,-26.19054310769783,0,3,0.0,3,4.717007555481461,0.7769043915801578
8,-31.448506260212117,0,3,0.2727272727272727,3,5.238625234765251,0.8584359629852015
9,-43.46126079198365,0,2,0.16176470588235295,3,3.141225083693862,0.7975938796997071
10,-25.108386264520334,0,3,0.7272727272727273,3,2.3360762017876353,0.760967857909925
11,-23.3368503313704,0,3,0.16666666666666666,3,2.9392220745129243,0.7557007744908333
12,-22.685593559530673,0,3,0.4090909090909091,3,2.413751201594577,0.7463510422145619
13,-30.940760811895057,0,2,0.8333333333333334,3,2.643192026913166,0.9925215059518814
14,-30.79210280017178,0,3,0.25384615384615383,3,2.2069706421087285,1.1354931312448837
15,-12.512388618622836,1,2,,3,1.8904732083096916,1.1965329587459563
16,-47.051482950098666,0,2,0.29850746268656714,3,1.5674016357958316,1.2840230411291123
17,-40.439694182896936,0,3,0.2903225806451613,3,1.453202762881165,1.4221722774207592
18,-8.163341237119193,2,0,0.2413793103448276,3,1.2452585390210151,1.4902254617214203
19,-41.83893979157395,0,0,,3,1.017721499055624,1.5567768675088882
20,-21.67916112777794,1,0,0.24725274725274726,3,0.8929639803618192,1.7704127621650696
21,-7.777735133175305,1,1,,3,0.8746372943371534,1.9264623272418975
22,-8.336326696530481,1,2,0.25,3,0.8967161880688624,1.957226358760487
23,-24.392054704192947,0,3,0.25,3,0.9684556142949476,1.9554714371518391
24,-7.262228687073452,1,2,0.28125,3,0.8752570988403426,1.9263766010602315
25,-11.287494686043866,1,2,0.0,3,0.9681924849071286,1.9723195614236775
26,4.050158648405657,2,1,0.5,3,0.9459882254087473,1.9906498730182647
27,4.120295159884171,2,1,0.22727272727272727,3,1.1536940540944305,1.9169153897267468
28,-9.311594692858558,1,2,0.32142857142857145,3,0.9445086284991233,1.9083959825577275
29,-6.794675594012072,1,2,0.2037037037037037,3,0.7414602747669926,1.934385291167668
30,7.337013475954574,2,1,0.25,3,1.2009810079489984,1.9721017729851507
31,25.24511324673129,3,0,0.25,3,1.2490830667316914,1.901165670156479
32,9.853623219646828,2,1,0.4,3,1.0934168547391891,1.7064588253314679
33,7.136230708748396,2,1,0.2222222222222222,3,1.378585901699568,1.753604564227556
34,5.464676313786924,2,1,0.12,3,1.6723310186202267,1.8828565696390664
35,8.954892636105104,2,1,0.1,3,1.3841109662442594,1.782375078452261
36,-5.222284235682426,1,2,0.4166666666666667,3,1.7071125790094719,1.7952622614408795
37,9.700098318312369,2,1,0.3333333333333333,3,1.8149763196706772,1.8039974144526891
38,-5.471346939390812,1,2,0.0,3,1.6717975195132049,1.8633027357213638
39,9.964711543871887,3,0,0.25,3,1.434001478101268,1.7678482281156334
40,8.910127150054182,2,1,,3,1.3594351758559544,1.516445795694987
41,23.57480556215003,3,0,0.20833333333333334,3,1.4933723211288452,1.742504848374261
42,23.561888786090055,3,0,0.5,3,1.4321908051507515,1.753907982792173
43,5.717091515305068,2,1,0.3333333333333333,3,1.38001553281661,1.760036177933216
44,8.272699552930629,2,1,0.25,3,1.8766058733765507,1.6622652564729963
45,23.17014735170733,3,0,,3,1.748015369474888,1.568473368883133
46,-4.383477410445953,1,2,0.5,3,1.5135780998638697,1.286525126014437
47,25.599629040337053,3,0,0.0,3,1.6997528355568647,1.2817446272820234
48,20.66310484040247,3,0,0.38461538461538464,3,2.153490662574768,1.388551059045962
