episode,score,steps,result,critic_loss,actor_loss
1,5.907162637396171,200,timeout,,
2,-8.1375738331963,176,collision,,
3,4.0004673447501,200,timeout,,
4,-1.5831793894498207,200,timeout,,
5,3.3438828864920787,200,timeout,,
6,-7.343553343940581,176,collision,0.04416257806207522,0.9339137845917752
7,-7.574408968409984,183,collision,0.13477958581547755,0.8156214220368344
8,-5.845487619238958,53,collision,0.11911473517253432,0.7226533385423514
9,-3.76941072284648,94,collision,0.16542531144210793,0.7029833121502653
10,30.134871567108192,67,goal,0.17251731548458338,0.667519806062474
11,29.816431474088205,92,goal,0.5355048493239218,0.5987815481165181
12,-3.72000267421953,25,collision,0.5869885815680027,0.5207778240243593
13,30.61809186661992,29,goal,0.41543002757404385,0.5358730097611745
14,30.577931493576422,23,goal,0.6700153570298267,0.517579585313797
15,30.925126698609603,20,goal,0.8691716231405735,0.4562105506658554
16,30.43885835249757,29,goal,0.7895365231509867,0.4386470595995585
17,30.446696167291492,30,goal,0.7720567187294364,0.40399496455987294
18,30.776998153146828,21,goal,1.0055070272868587,0.35941610783338546
19,30.833130680861654,20,goal,1.516684988513589,0.2770354703068733
20,30.711433128099465,21,goal,1.42393701842853,0.2241630737077106
21,30.66922543125319,24,goal,1.4787692297250032,0.2387569627414147
22,-2.407579626808566,21,collision,1.8033111372164317,0.13435122072696687
23,-3.063089393623077,20,collision,1.5692325565963983,0.15447601675987244
24,-5.564581611689994,17,collision,1.1181659637128605,0.23451869272523457
25,-2.3283726984128643,17,collision,1.5313799635452383,0.11930460203438997
26,-2.78744949764703,21,collision,1.1789132619187945,0.14163937588984316
27,-3.045204934535554,19,collision,1.3441759402814664,0.027960807498958375
28,30.024290147523864,73,goal,1.307238566548857,0.0006305365445646079
29,30.31861621929916,55,goal,1.0354201930490408,-0.13343734542528787
30,30.531591794477194,52,goal,0.9902517970364827,-0.1980191828826299
31,30.42673862193282,51,goal,0.8096318604315028,-0.2586445902975706
32,-5.400020929695626,14,collision,0.5274448272372995,-0.2926568335720471
33,-4.624658235308253,11,collision,0.720190091566606,-0.3398419082164764
34,30.544259896424844,32,goal,0.9987457445822656,-0.3455184996128082
35,-5.369933873490844,16,collision,0.8049242496490479,-0.3931035716086626
36,30.61148482631034,28,goal,0.9984696097671986,-0.4692646150610277
37,-5.056132185760171,10,collision,0.9518236868083477,-0.4971029222011566
38,30.81893896505961,31,goal,0.9055891474408488,-0.4419977841898799
39,-4.605504956456406,11,collision,0.9047955247488889,-0.4860532134771347
40,-5.103228567859128,11,collision,0.5429071662100878,-0.6257154196500778
41,30.527455334004657,23,goal,0.8882313866330229,-0.48771219700574875
42,30.669510827699206,27,goal,0.8446398675441742,-0.5628206035388368
43,30.5875985847415,22,goal,0.9854347170753912,-0.593723557212136
44,-5.099935216106955,16,collision,0.8031646297313273,-0.631245531141758
45,30.638265262753087,22,goal,0.9768890237266367,-0.7029916454445232
46,30.739765303059492,29,goal,0.6294284850872797,-0.738795804125922
47,30.747354444654327,27,goal,0.8586512312844947,-0.7775768552507673
48,30.517682834704416,25,goal,0.6457703387737275,-0.906907911101977
49,30.653550731326,27,goal,0.738044855495294,-0.8847546705177852
50,30.70825057558941,20,goal,0.7415635749697685,-1.083677500486374
51,30.34753648239586,37,goal,0.7840638104322795,-1.0225044041872025
52,30.518711788246165,22,goal,0.8916168754751032,-1.2029319242997603
53,30.878310785398142,22,goal,0.5155377482826059,-1.1706019748340954
54,30.615164146249917,27,goal,0.8626228813771848,-1.158918057169233
55,30.548472809979316,24,goal,0.49501244630664587,-1.2522936811049779
56,30.74827691142938,28,goal,0.5982516857662371,-1.2758971835885728
57,30.727186907625082,28,goal,0.616669359217797,-1.482762907232557
58,30.757773771210516,21,goal,0.5593090135426748,-1.7085182666778564
59,30.85476739075287,20,goal,0.3932914637029171,-1.6387665629386903
60,30.770902899535425,25,goal,0.396039679646492,-1.6108846022532537
61,30.88964146897233,20,goal,0.6323856242001057,-1.677845585346222
62,30.533174992329833,24,goal,0.5347399264574051,-1.6913595000902812
63,30.637546791003178,22,goal,0.531377533620054,-1.7729101614518599
64,30.76564728364329,27,goal,0.49664728233107813,-1.9075166537211492
65,30.675552990465363,20,goal,0.5347947672009468,-1.8300172805786132
66,30.726400471373402,20,goal,0.6157263465225696,-1.9171607136726379
67,30.930519247961985,21,goal,0.6158484206313178,-1.98763137513941
68,30.76604276075276,20,goal,0.603813998401165,-2.0953917026519777
69,30.542915308556694,21,goal,0.6445926257542202,-2.012621307373047
70,30.93500528844843,20,goal,0.5680600240826607,-2.2476738691329956
71,30.91908623789844,21,goal,0.41241568610781715,-2.1107506210153755
72,30.742594387446864,25,goal,0.5977074480056763,-2.200370490550995
73,30.657347735175634,20,goal,0.5595147430896759,-2.3918277859687804
